Comment,Designator,Footprint,LCSC
"10u","C1,C6","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"100n","C2,C3,C4,C5,C7,C8,C9","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"2.5","H1","MountingHole:MountingHole_2.5mm",""
"Z-Turn Extension","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"Alinx HDMI/ETH module","J2","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"ADC module 2-ch","J3","Connector_PinHeader_2.54mm:PinHeader_2x16_P2.54mm_Vertical",""
"AD DA module","J4","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical",""
"DAC module 2-ch","J5","Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical",""
"camera","J6","Connector_PinSocket_2.54mm:PinSocket_2x09_P2.54mm_Horizontal",""
"pmod","J7","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal",""
